dataset,row_number,field,defect_class,original_value
Works Completed.csv,481,Image,MISSING_OR_BLANK,
Works Completed.csv,485,Image,MISSING_OR_BLANK,
Works Completed.csv,487,Image,MISSING_OR_BLANK,
Works Completed.csv,488,Image,MISSING_OR_BLANK,
Works Completed.csv,489,Image,MISSING_OR_BLANK,
Works Completed.csv,490,Image,MISSING_OR_BLANK,
Works Completed.csv,491,Image,MISSING_OR_BLANK,
Works Completed.csv,508,Image,MISSING_OR_BLANK,
Works Completed.csv,509,Image,MISSING_OR_BLANK,
Works Completed.csv,513,Image,MISSING_OR_BLANK,
Works Completed.csv,517,Image,MISSING_OR_BLANK,
Works Completed.csv,519,Image,MISSING_OR_BLANK,
Works Completed.csv,520,Image,MISSING_OR_BLANK,
Works Completed.csv,521,Image,MISSING_OR_BLANK,
Works Completed.csv,522,Image,MISSING_OR_BLANK,
Works Completed.csv,523,Image,MISSING_OR_BLANK,
Works Completed.csv,524,Image,MISSING_OR_BLANK,
Works Completed.csv,525,Image,MISSING_OR_BLANK,
Works Completed.csv,526,Image,MISSING_OR_BLANK,
Works Completed.csv,527,Image,MISSING_OR_BLANK,
Works Completed.csv,528,Image,MISSING_OR_BLANK,
Works Completed.csv,530,Image,MISSING_OR_BLANK,
Works Completed.csv,531,Image,MISSING_OR_BLANK,
Works Completed.csv,532,Image,MISSING_OR_BLANK,
Works Completed.csv,539,Image,MISSING_OR_BLANK,
Works Completed.csv,540,Image,MISSING_OR_BLANK,
Works Completed.csv,582,Image,MISSING_OR_BLANK,
Works Completed.csv,595,Image,MISSING_OR_BLANK,
Works Completed.csv,597,Image,MISSING_OR_BLANK,
Works Completed.csv,599,Image,MISSING_OR_BLANK,
Works Completed.csv,604,Image,MISSING_OR_BLANK,
Works Completed.csv,609,Image,MISSING_OR_BLANK,
Works Completed.csv,610,Image,MISSING_OR_BLANK,
Works Completed.csv,611,Image,MISSING_OR_BLANK,
Works Completed.csv,612,Image,MISSING_OR_BLANK,
Works Completed.csv,613,Image,MISSING_OR_BLANK,
Works Completed.csv,614,Image,MISSING_OR_BLANK,
Works Completed.csv,617,Image,MISSING_OR_BLANK,
Works Completed.csv,618,Image,MISSING_OR_BLANK,
Works Completed.csv,619,Image,MISSING_OR_BLANK,
Works Completed.csv,620,Image,MISSING_OR_BLANK,
