allocation_id,state,constituency,honble_members_of_parliament
ALLOC_a5c3994e861bf289435d,Jharkhand,DHANBAD,DULU MAHATO
ALLOC_840b3ef1fd76a8ea2915,Tamil Nadu,TIRUCHIRAPPALLI,DURAI VAIKO
ALLOC_76eaaf187b3b2cfd5217,Madhya Pradesh,BETUL(ST),Durga Das Uikey
ALLOC_d939926cef9aa425a6aa,Rajasthan,JHALAWAR-BARAN,Dushyant Singh
ALLOC_b1639c04386f2732f2c7,Karnataka,BELLARY(ST),E. TUKARAM
ALLOC_74192e52aa58158215c2,Kerala,MALAPPURAM,E.T. MOHAMMED BASHEER
ALLOC_e6792eaf06eb7646cc9d,Telangana,MALKAJGIRI,EATALA RAJENDER
ALLOC_4f875a147cbed08241c6,Tamil Nadu,POLLACHI,ESWARASAMY K
ALLOC_93102c39f3417306f9d5,Madhya Pradesh,MANDLA(ST),Faggan Singh Kulaste
ALLOC_1d9fefe5f6db8541d7c7,Karnataka,RAICHUR(ST),G. KUMAR NAIK
ALLOC_754a8367877aa5e0f032,Maharashtra,MUMBAI NORTH-CENTRAL,GAIKWAD VARSHA EKNATH
ALLOC_2e4c241770966a315b69,Madhya Pradesh,KHARGONE(ST),Gajendra Singh Patel
ALLOC_d964693509d7c9aedacd,Rajasthan,JODHPUR,Gajendra Singh Shekhawat
ALLOC_dc20d1fc7a8296e3f644,Tamil Nadu,COIMBATORE,GANAPATHY RAJKUMAR P
ALLOC_f0617d1d303a5421ec0d,Tamil Nadu,KANCHEEPURAM(SC),Ganesan Selvam
ALLOC_ece21fe7c86ac7b32967,Madhya Pradesh,SATNA,Ganesh Singh
ALLOC_5e4f8d3b69c62017196b,Assam,JORHAT,GAURAV GOGOI
ALLOC_9035dfab8eb2f30281ee,Gujarat,BANASKANTHA,GENIBEN NAGAJI THAKOR
ALLOC_f7f7afaf872b937ad58f,Bihar,BANKA,Giridhari Yadav
ALLOC_d4a29626d24a3fab229c,Bihar,BEGUSARAI,Giriraj Singh
ALLOC_1e1dfc9fe8406fb9f7d1,Andhra Pradesh,AMALAPURAM(SC),GM Harish Balayogi
ALLOC_f43c363b24b2eb645801,Telangana,ADILABAD(ST),GODAM NAGESH
ALLOC_7052da99aea4b161c21c,Tamil Nadu,KRISHNAGIRI,GOPINATH K
ALLOC_de3e4bb31e1cc5b5debf,Karnataka,CHITRADURGA(SC),GOVIND MAKTHAPPA KARJOL
ALLOC_97043e7ddfaf5c38b2b8,Andhra Pradesh,ARAKU(ST),Gumma Thanuja Rani
ALLOC_ab97c06c053b04de462b,Punjab,SANGRUR,GURMEET SINGH MEET HAYER
ALLOC_344730d2ad88610a2226,Madhya Pradesh,KHANDWA,Gyaneshwar Patil
ALLOC_cdbe6db7f50ff1e210d1,Karnataka,MANDYA,H.D. KUMARASWAMY
ALLOC_ff76a5eae59b0b17e50d,Uttar Pradesh,MUZAFFARNAGAR,HARENDRA SINGH MALIK
ALLOC_1d7d526e624c93d26ef2,Gujarat,MAHESANA,HARIBHAI PATEL
ALLOC_d55d63da84ace080ce08,Rajasthan,TONK-SAWAI MADHOPUR,HARISH CHANDRA MEENA
ALLOC_64ee4c6616de88960079,Delhi,EAST DELHI,Harsh Malhotra
ALLOC_0c87287124d85fba847b,Gujarat,AHMEDABAD EAST,Hasmukh Bhai Soma Bhai Patel
ALLOC_bb0841b60a27e3d05915,Uttar Pradesh,SAHARANPUR,IMRAN MASOOD
ALLOC_bed9ccdac3ff5dff9e51,Sikkim,SIKKIM,Indra Hang Subba
ALLOC_166434742ef5ab2ffd5a,Uttar Pradesh,KAIRANA,IQRA CHOUDHARY
ALLOC_00e2b6cf43c50ff4425f,West Bengal,MALDAHA DAKSHIN,ISHA KHAN CHOUDHURY
