"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3061","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP600/2026-2027/274178","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","21-Aug-2026","SAROJ BALA","Payment Success","202000"
"3062","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2024-2025/133597","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","20-Aug-2026","GRAM PANCHAYAT NIMACH","Payment Success","249291"
"3063","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/201433","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","24-Aug-2026","EVEREST CONSTRUCTION","Payment Success","799755"
"3064","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18144/2026-2027/269154","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","19-Aug-2026","Hareram Panda","Payment Success","500000"
"3065","Gujarat","Construction of public irrigation facilities","WS/MP577/2025-2026/133602","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","20-Aug-2026","GRAM PANCHAYAT NADHELAV","Payment Success","250000"
"3066","Punjab","Street lights","WS/MP18154/2025-2026/259404","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","21-Aug-2026","M S Aulakh Contractors","Payment Success","250000"
"3067","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256273","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","BASAVARAJ MAHANTESH PATIL","Payment Success","375000"
"3068","Madhya Pradesh","Construction of community centers and community halls","WS/	 MP443/2026-2027/292931","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Rodmal Nagar","RAJGARH","18-Aug-2026","GP JAMONIYA JP BIAORA","Payment Success","150000"
"3069","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256261","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","RAGHAVENDRA I NARAGATTI","Payment Success","375000"
"3070","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294537","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","GRYGRAM PAN SENDMUDA","Payment Success","320000"
"3071","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294540","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","GRAM PANCHAYAT KHOKSARA","Payment Success","320000"
"3072","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294539","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","SRYGR PANCH JHIRIPANI","Payment Success","320000"
"3073","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/229779","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","20-Aug-2026","PUSALAPATI CHINNA KONDAIAH","Payment Success","511985"
"3074","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18062/2025-2026/228316","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","21-Aug-2026","The HR Co Op LC Society Ltd","Payment Success","296849"
"3075","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","18-Aug-2026","umesh chand","Payment Success","415580"
"3076","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","banwari","Payment Success","3705"
"3077","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","BHUPENDRA KUMAR","Payment Success","9750"
"3078","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","DHARMENDRA KUMAR","Payment Success","3705"
"3079","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","GAJEBDRA","Payment Success","9750"
"3080","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","HARI OM","Payment Success","3705"
"3081","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","KELLA DEVI","Payment Success","3705"
"3082","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","MAHESH CHAND","Payment Success","3705"
"3083","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","MANJU","Payment Success","3705"
"3084","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","NARENDRA KUMAR","Payment Success","3705"
"3085","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2024-2025/147535","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","19-Aug-2026","MALLIBOYANA BALAKRISHNA","Payment Success","109235"
"3086","Andhra Pradesh","Installing tube-wells and borewells","WS/MP526/2026-2027/269796","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","19-Aug-2026","MALLIBOYANA BALAKRISHNA","Payment Success","449836"
"3087","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","NAVNIT TIWARI","Payment Success","3705"
