sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
5640,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2025-2026/236392,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-06-30,Junishedhavi Gram Panchayat,Payment Success,200000,False,Completed_On-going_Works.csv
5641,Gujarat,Providing drains and gutters for public drainage,WS/MP18054/2025-2026/255363,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-06-30,Laljinagar Gram Panchayat,Payment Success,200000,False,Completed_On-going_Works.csv
5642,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2025-2026/236394,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-06-30,Saldi Gram Panchayat,Payment Success,200000,False,Completed_On-going_Works.csv
5643,Andhra Pradesh,Setting up of laboratories,WS/MP18006/2025-2026/239474,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),DAGGUMALLA PRASADA RAO,CHITTOOR,2026-06-23,R Rajasekhar,Payment Success,971970,False,Completed_On-going_Works.csv
5644,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18058/2024-2025/172000,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,2026-08-17,MOTIMANEKPUR GRAM PANCHYAT,Payment Success,500000,False,Completed_On-going_Works.csv
5645,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18058/2025-2026/270873,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,2026-08-17,MADHELI GRAM PANCHAYAT,Payment Success,500000,False,Completed_On-going_Works.csv
5646,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,ajay kumar,Payment Success,2000,False,Completed_On-going_Works.csv
5647,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,ajay kumar,Payment Success,439002,False,Completed_On-going_Works.csv
5648,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268581,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-29,ajay kumar,Payment Success,528695,False,Completed_On-going_Works.csv
5649,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2025-2026/268574,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-25,ajay kumar,Payment Success,440969,False,Completed_On-going_Works.csv
5650,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,ghansyam,Payment Success,3705,False,Completed_On-going_Works.csv
5651,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,nemi singh,Payment Success,3705,False,Completed_On-going_Works.csv
5652,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,panna lal,Payment Success,3705,False,Completed_On-going_Works.csv
5653,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,ashok kumar,Payment Success,3705,False,Completed_On-going_Works.csv
5654,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,hema,Payment Success,3705,False,Completed_On-going_Works.csv
5655,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,maya,Payment Success,3135,False,Completed_On-going_Works.csv
5656,Uttar Pradesh,Lighting of public spaces,WS/MP18233/2026-2027/274638,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),PRAVEEN PATEL,PHULPUR,2026-07-01,Roudrantak Infratech,Payment Success,20786350,False,Completed_On-going_Works.csv
5657,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,deyaram,Payment Success,3705,False,Completed_On-going_Works.csv
5658,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,madan mohan,Payment Success,9750,False,Completed_On-going_Works.csv
5659,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,ratan lal,Payment Success,9750,False,Completed_On-going_Works.csv
5660,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,chinga,Payment Success,9750,False,Completed_On-going_Works.csv
5661,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/268580,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-08,magla,Payment Success,3705,False,Completed_On-going_Works.csv
5662,Odisha,Construction of community centers and community halls,WS/MP373/2025-2026/249708,BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA),Smt Sangeeta Kumari Singh Deo,BOLANGIR,2026-06-25,LAKSHYE MEHER,Payment Success,250000,False,Completed_On-going_Works.csv
5663,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/231386,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-06-25,SHIV SHAKTI CONSTRUCTION,Payment Success,1295592,False,Completed_On-going_Works.csv
5664,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2025-2026/260632,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-06-23,JP Yadav Constructions Company,Payment Success,176395,False,Completed_On-going_Works.csv
5665,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2025-2026/256515,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-06-23,JP Yadav Constructions Company,Payment Success,300799,False,Completed_On-going_Works.csv
5666,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2025-2026/196199,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-07-03,SARSAV GRAM PANCHAYAT,Payment Success,150000,False,Completed_On-going_Works.csv
5667,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18161/2025-2026/225241,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-14,gp sajjanwas,Payment Success,79665,False,Completed_On-going_Works.csv
5668,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18161/2026-2027/236436,Deeg(DISTRICT COLLECTOR Deeg_IDA),SANJNA JATAV,BHARATPUR(SC),2026-07-02,pravendra singh,Payment Success,499882,False,Completed_On-going_Works.csv
5669,Andhra Pradesh,Construction of culverts and bridges,WS/MP18006/2025-2026/254770,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),DAGGUMALLA PRASADA RAO,CHITTOOR,2026-06-24,SRI SHIVAGURU INFRA,Payment Success,311784,False,Completed_On-going_Works.csv
5670,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/219470,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-06-25,Lakhvir Singh,Payment Success,22360,False,Completed_On-going_Works.csv
5671,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18388/2025-2026/190935,PEDDAPALLI(District Collector Peddapally_IDA),VAMSI KRISHNA GADDAM,PEDDAPALLE,2026-06-24,M Nagender,Payment Success,499887,False,Completed_On-going_Works.csv
5672,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP017/2026-2027/234415,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,2026-06-24,D BASKARAN,Payment Success,658619,False,Completed_On-going_Works.csv
5673,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18014/2025-2026/245077,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),2026-07-18,uppiretla venkateswarlu,Payment Success,299150,False,Completed_On-going_Works.csv
5674,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP777/2025-2026/225322,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Mahesh Sharma,GAUTAM BUDDHA NAGAR,2026-06-23,JAI MAA VAISNO INFRATECH PRO AMIT KUAMR GOYAL,Payment Success,1614959,False,Completed_On-going_Works.csv
5675,Gujarat,Construction of footpaths and pedestrian ways,WS/ MP578/2025-2026/241876,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,2026-06-22,KALA GRAM PANCHAYT,Payment Success,100000,False,Completed_On-going_Works.csv
5676,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/ MP578/2025-2026/241851,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,2026-06-24,VEMARDI GRAM PANCAHAYT,Payment Success,100000,False,Completed_On-going_Works.csv
5677,Tamil Nadu,Installing tube-wells and borewells,WS/MP18394/2025-2026/212734,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),V S Matheswaran,NAMAKKAL,2026-07-31,RAJU N,Payment Success,400000,False,Completed_On-going_Works.csv
5678,Rajasthan,Installing tube-wells and borewells,WS/MP18170/2025-2026/197319,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-06-22,SHREE BALAJI CONSTRUCTION COMPANY,Payment Success,316000,False,Completed_On-going_Works.csv
5679,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18305/2025-2026/183141,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,2026-06-29,MOHAMMED BASHEER MT,Payment Success,274027,False,Completed_On-going_Works.csv
5680,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18305/2025-2026/183140,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,2026-06-24,MOHAMMED BASHEER MT,Payment Success,274027,False,Completed_On-going_Works.csv
5681,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18131/2026-2027/273604,SINDHUDURG(DISTRICT COLLECTOR SINDHUDURG_IDA),NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,2026-07-29,SWAMI VIVEKANANDMAJUR SAHAKARI SANSTHA MARYA KERVADE TARF MANGAON,Payment Success,799728,False,Completed_On-going_Works.csv
5682,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18202/2025-2026/269476,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DHARMENDRA YADAV,AZAMGARH,2026-06-23,SHIVA TRADERS,Payment Success,909356,False,Completed_On-going_Works.csv
5683,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18202/2025-2026/269476,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DHARMENDRA YADAV,AZAMGARH,2026-08-11,SHIVA TRADERS,Payment Success,183367,False,Completed_On-going_Works.csv
5684,Haryana,"Setting up processing plants, cold storages,etc for fish and fisheries products for community use",WS/MP18067/2026-2027/265830,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,2026-06-23,MAA MANSA ENTERPRISES,Payment Success,787473,False,Completed_On-going_Works.csv
5685,Odisha,Lighting of public spaces,WS/MP372/2025-2026/237903,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,2026-06-22,ARKA ENTERPRISES,Payment Success,150000,False,Completed_On-going_Works.csv
5686,Haryana,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18066/2026-2027/268806,JIND(DEPUTY COMMISSIONER JIND),SELJA,SIRSA(SC),2026-06-23,VINOD KUMAR GOVT CONTRACTOR,Payment Success,115444,False,Completed_On-going_Works.csv
5687,Tamil Nadu,Construction of buildings for crèches and anganwadies,WS/MP017/2026-2027/188575,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,2026-06-25,PURUSHOTHAMAN M,Payment Success,1799989,False,Completed_On-going_Works.csv
5688,Uttar Pradesh,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",WS/MP819/2026-2027/267384,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),Smt Hema Malini,MATHURA,2026-06-23,ENDOLITE INDIA LTD,Payment Success,165900,False,Completed_On-going_Works.csv
5689,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP640/2026-2027/163385,DINDORI(District Collector Dindori_IDA),Faggan Singh Kulaste,MANDLA(ST),2026-07-01,MS TARENDRA KUMAR,Payment Success,200000,False,Completed_On-going_Works.csv
5690,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18369/2026-2027/226919,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-06-22,GP KARAJGAON PANI PURAVATHA,Payment Success,729332,False,Completed_On-going_Works.csv
5691,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,KAILASH MANGLA,Payment Success,7800,False,Completed_On-going_Works.csv
5692,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,SITARAM DEVKARAN BAIRWA,Payment Success,7800,False,Completed_On-going_Works.csv
5693,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,KAILASH RAMSWROOP,Payment Success,7800,False,Completed_On-going_Works.csv
5694,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,PARDHIP HANUMAN,Payment Success,600,False,Completed_On-going_Works.csv
5695,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,JEETRAM NANDRAM,Payment Success,7800,False,Completed_On-going_Works.csv
5696,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/245869,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,2026-08-29,MS BORA HARDWARE,Payment Success,250000,False,Completed_On-going_Works.csv
5697,Tamil Nadu,Construction of boundary walls of existing public and community buildings,WS/MP18186/2026-2027/258449,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),Sasikanth Senthil,TIRUVALLUR(SC),2026-06-23,C B PRAKASH,Payment Success,579932,False,Completed_On-going_Works.csv
5698,Tamil Nadu,Construction of common work sheds/ common covered sitting area,WS/MP740/2026-2027/223215,THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA),Andimuthu Raja,NILGIRIS(SC),2026-07-01,T Krishnamoorthi Emerald,Payment Success,699519,False,Completed_On-going_Works.csv
5699,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP640/2025-2026/175393,DINDORI(District Collector Dindori_IDA),Faggan Singh Kulaste,MANDLA(ST),2026-07-17,GP MANIKPUR JP KARANJIYA,Payment Success,60000,False,Completed_On-going_Works.csv
5700,Bihar,Construction of public staircase/ stair ghat for public convenience,WS/MP18042/2025-2026/259642,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),SHAMBHAVI,SAMASTIPUR(SC),2026-06-24,AARAV ENTERPRISES,Payment Success,699269,False,Completed_On-going_Works.csv
5701,Tamil Nadu,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18179/2026-2027/168572,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,2026-06-23,E.RATHIKA,Payment Success,1325933,False,Completed_On-going_Works.csv
5702,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP380/2026-2027/279205,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),2026-07-21,SIDHU AND SONS BKO,Payment Success,89000,False,Completed_On-going_Works.csv
5703,Uttar Pradesh,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP18206/2026-2027/255952,BANDA(DISTRICT MAGISTRATE BANDA_IDA),KRISHNA DEVI SHIVSHANKER PATEL,BANDA,2026-06-23,Rajju Sen,Payment Success,112897,False,Completed_On-going_Works.csv
5704,Assam,Construction of buildings for community cultural activities,WS/MP18020/2026-2027/205145,BARPETA(DEPUTY COMMISSIONER BARPETA 1),PHANI BHUSAN CHOUDHURY,BARPETA,2026-08-18,CONSTRUCTION OF CULTURAL STAGE AT BARHARID NEAR SRI SRI KALIA NAMGHAR,Payment Success,240000,False,Completed_On-going_Works.csv
5705,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2026-2027/255324,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-06-24,GRAM PANCHAYAT PRATAPGADH,Payment Success,200000,False,Completed_On-going_Works.csv
5706,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/251683,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,2026-06-24,SRIJANE GROUP,Payment Success,296733,False,Completed_On-going_Works.csv
5707,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2025-2026/251684,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,2026-07-15,SRIJANE GROUP,Payment Success,300642,False,Completed_On-going_Works.csv
5708,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18001/2025-2026/243011,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),GM Harish Balayogi,AMALAPURAM(SC),2026-07-10,MOPURI SRINIVASA RAO,Payment Success,402731,False,Completed_On-going_Works.csv
5709,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18001/2025-2026/243009,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),GM Harish Balayogi,AMALAPURAM(SC),2026-07-10,MOPURI SRINIVASA RAO,Payment Success,400579,False,Completed_On-going_Works.csv
5710,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18276/2026-2027/280703,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),2026-07-27,DHANPURI GROUP GRAM PANCHAYAT,Payment Success,500000,False,Completed_On-going_Works.csv
5711,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18276/2026-2027/280706,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),2026-07-27,CHALVAD GRAM PANCHAYAT,Payment Success,500000,False,Completed_On-going_Works.csv
5712,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,RAMDYAL LALU GHASAL,Payment Success,7800,False,Completed_On-going_Works.csv
5713,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,SUMITRA RAMDAYAL,Payment Success,7800,False,Completed_On-going_Works.csv
5714,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,RAMESHWARI JATAN,Payment Success,7800,False,Completed_On-going_Works.csv
5715,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,KAMAL TEJU CHOUDHARY,Payment Success,7800,False,Completed_On-going_Works.csv
5716,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,RADHAMOHAN NORAT,Payment Success,7800,False,Completed_On-going_Works.csv
5717,Assam,Construction of community centers and community halls,WS/MP18024/2026-2027/221360,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,2026-07-16,BIDYESWAR KAMAN,Payment Success,250000,False,Completed_On-going_Works.csv
5718,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,AASHISH SADUL,Payment Success,7800,False,Completed_On-going_Works.csv
5719,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,JATAN SADUL,Payment Success,7800,False,Completed_On-going_Works.csv
5720,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP719/2025-2026/261813,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,2026-06-22,MUKESH RAMDHAN,Payment Success,7800,False,Completed_On-going_Works.csv
5721,Maharashtra,Construction of community centers and community halls,WS/MP672/2026-2027/291742,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Nitin Jairam Gadkari,NAGPUR,2026-07-07,Dhiraj Baba Virkhare,Payment Success,3201581,False,Completed_On-going_Works.csv
5722,Haryana,Construction of community centers and community halls,WS/MP18065/2025-2026/197014,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,2026-06-23,SHIVAM Building Material,Payment Success,79996,False,Completed_On-going_Works.csv
5723,Haryana,Construction of community centers and community halls,WS/MP18065/2025-2026/197014,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,2026-06-23,Maharishi Durwasha Bricks Kiln Co,Payment Success,328928,False,Completed_On-going_Works.csv
5724,Punjab,Providing drains and gutters for public drainage,WS/MP18152/2025-2026/274125,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,FARIDKOT(SC),2026-06-22,Gill Pipe Industry,Payment Success,395350,False,Completed_On-going_Works.csv
5725,Punjab,Providing drains and gutters for public drainage,WS/MP18152/2025-2026/241148,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),2026-08-04,Gill Pipe Industry,Payment Success,125150,False,Completed_On-going_Works.csv
5726,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP18384/2026-2027/210419,NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4),SELVARAJ V,NAGAPATTINAM(SC),2026-06-22,RADHA K,Payment Success,599435,False,Completed_On-going_Works.csv
5727,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18156/2025-2026/211018,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),2026-06-30,GOVARDHAN IRON,Payment Success,176919,False,Completed_On-going_Works.csv
5728,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/249226,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,2026-06-23,AFSANA ENTERPRISE prop SK ANUAR,Payment Success,233836,False,Completed_On-going_Works.csv
5729,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18147/2025-2026/250337,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),NABA CHARAN MAJHI,MAYURBHANJ (ST),2026-06-22,RASIKANANDA MISHRA,Payment Success,500000,False,Completed_On-going_Works.csv
5730,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18263/2026-2027/166248,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,2026-06-23,ANIL K C,Payment Success,196051,False,Completed_On-going_Works.csv
5731,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP743/2025-2026/170867,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),2026-06-19,V PUGALENDHI,Payment Success,650000,False,Completed_On-going_Works.csv
5732,Tamil Nadu,Installing community drinking water plants,WS/MP743/2026-2027/230541,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),2026-05-29,R Kottishwarn,Payment Success,1500000,False,Completed_On-going_Works.csv
