sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
10385,Normal/Others,"WS/MP18188/2024-2025/154594-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Ramaswamy House to Pala Banthu at Antharam Village of Chevella Mandal,2024-11-25,2025-02-12,423429.0,Physical Inspection,False,Works Sanctioned.csv
10386,Normal/Others,"WS/MP856/2024-2025/154595-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Adarsh Vihar Colony me Rajitram Dubey ke makan se link road tak interlocking evm nali nirman karya-Length 100 meter,2024-11-25,2025-01-25,1095987.0,Physical Inspection,False,Works Sanctioned.csv
10387,Normal/Others,WS/MP18082/2024-2025/154596-Construction of New Building,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Construction of Room building with furniture in the Premises of Chitradurga District Court,2024-11-25,2025-03-24,2500000.0,Work partially Completed,False,Works Sanctioned.csv
10388,Normal/Others,WS/MP18082/2025-2026/154597-Purchase of hospital equipment,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Providing 2 chambered morturary Freezing Chamber equipment to District government Hospital,2024-11-25,2025-09-03,500000.0,Work partially Completed,False,Works Sanctioned.csv
10389,Normal/Others,WS/MP18082/2025-2026/154598-Purchase of hospital equipment,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Supply of 2 cabined Morturary Freezing Chamber to District Government Hospital,2024-11-25,2025-09-03,500000.0,Work partially Completed,False,Works Sanctioned.csv
10390,Normal/Others,"WS/MP856/2024-2025/154599-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Hardoi road neelkanth hospital se rastogi nagar mukhya marg tak CC dwara sadak evam nali nirman karya-Length-105 meter,2024-11-25,2025-01-20,1248423.0,Physical Inspection,False,Works Sanctioned.csv
10391,Normal/Others,"WS/MP18188/2024-2025/154600-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Syed Siddika House to Masjid at Malkapur Village of Chevella Mandal,2024-11-25,2025-02-12,423672.0,Physical Inspection,False,Works Sanctioned.csv
10392,Normal/Others,"WS/MP856/2024-2025/154601-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Raja bihar colony me surendra ke makan se sunil chaurasiya ke makan tak enterlocking sadak evm nali nirman (Length 25 meter) evm ekta nagar (Yasinganj) me guddue ke makan se rinku ke makan tak CC sadak evm nali nirman karya-Length-70 meter,2024-11-25,2025-01-20,183000.0,Work Completed,False,Works Sanctioned.csv
10393,Normal/Others,WS/MP18338/2024-2025/154602-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,BHONGIR,PROVIDING OF STREET LIGHTS IN CHILLAPURAM VILLAGE,2024-11-25,2025-01-29,100000.0,Work Completed,False,Works Sanctioned.csv
10394,Normal/Others,"WS/MP856/2024-2025/154604-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Begariya Antargat Rajaram ke makan se deepak rajpoot ke makan hote hue dayaram ke makan tak interlocking sadak evm nali nirman-length 120 meter,2024-11-25,2025-01-27,1048383.0,Physical Inspection,False,Works Sanctioned.csv
