sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
19421,Normal/Others,WS/MP106/2026-2027/276357-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Nagna, Janpad Panchayat Panagar ke gram Nagna me shantidham me Shed evam Chabutra nirman kary, Jabalpur",2026-03-27,500000.0,2026-07-21,False,Works_Recommended.csv
19422,Normal/Others,WS/MP106/2026-2027/276358-Purchase of mobile water tankers,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek Nag Water Tanker 5500 Liter kshamta 900X16 number ke naye Tyre Tube Sahit, Gram Mohla, Gram Panchayat Mohla, Janpad Panchayat Majholi hetu, Jabalpur",2026-03-27,159212.0,2026-06-15,False,Works_Recommended.csv
19423,Normal/Others,WS/MP878/2026-2027/276361-Street lights,Delhi,South East(COMMISSIONER MCD SOUTH EAST_IDA),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Supply and Installation of Street Light Fittings on Existing Poles in Sangam Vihar Ward No 168 Central Zone,2026-03-27,959858.0,2026-04-17,False,Works_Recommended.csv
19424,Normal/Others,WS/MP878/2026-2027/276367-Street lights,Delhi,South East(COMMISSIONER MCD SOUTH EAST_IDA),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Installation of 45 Watt LED Street Light Fittings on Existing Poles in Sangam Vihar Ward No 168 Central Zone,2026-03-27,971072.0,2026-04-16,False,Works_Recommended.csv
19425,Normal/Others,WS/MP18381/2026-2027/276417-Lighting of public spaces,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Laxmi Narasihma Swamy Temple at Bodepalli Village, Balkonda Mandal, Nizambad District, Telangana",2026-03-28,155000.0,2026-06-30,False,Works_Recommended.csv
19426,Normal/Others,NA-Lighting of public spaces,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Narmada Water Plant at Baswapur Village, Balkonda Mandal, Nizambad District, Telangana",2026-03-28,155000.0,,False,Works_Recommended.csv
19427,Normal/Others,WS/MP18381/2026-2027/276420-Lighting of public spaces,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near MPPS School at Chittapur Village, Balkonda Mandal, Nizambad District, Telangana",2026-03-28,155000.0,2026-08-29,False,Works_Recommended.csv
19428,Normal/Others,WS/MP18381/2026-2027/276421-Lighting of public spaces,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Ambedkar Stutue at Srirampur Village, Balkonda Mandal, Nizambad District, Telangana",2026-03-28,155000.0,2026-08-29,False,Works_Recommended.csv
19429,Normal/Others,"WS/MP18381/2026-2027/276423-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of CC Road from Boduluri Sriram Murthy house to Paruchuri Kripanandam house at Kothapally Village, Makloor Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-06-30,False,Works_Recommended.csv
19430,Normal/Others,"WS/MP18381/2026-2027/276424-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of CC Road from Mundra Suribabu house to OHSR tank at Kothapally Village, Makloor Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-06-30,False,Works_Recommended.csv
