sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed_rupees,amount_disbursed_rupees_invalid_negative,source_dataset
20828,Normal/Others,WS/MP18314/2025-2026/208365-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In Patti Jawandha W.no 11 Near Surjit Singh So Hansa Singh Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20829,Normal/Others,WS/MP18314/2025-2026/208366-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In Bazigar Basti Bhani Road W.no 11 Near Harbans Singh Foji Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20830,Normal/Others,WS/MP18190/2025-2026/213948-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street Light in Devagiripatnam GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,197521.0,False,Works Completed.csv
20831,Normal/Others,WS/MP18190/2025-2026/213038-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street lights in Pathepalle GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,197521.0,False,Works Completed.csv
20832,Normal/Others,WS/MP18314/2025-2026/208367-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 7 Near Kulvir Singh Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20833,Normal/Others,"WS/MP18194/2025-2026/236885-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Telangana,KAMAREDDY(District Collector Kamareddy_IDA),"Purchase of Tri Scooter or Three wheeler Scooter for Mr.Peddapatlolla Nishant Reddy son of P Devender Reddy, Borlam Village, Banswada MAndal, Kamareddy district",SURESH KUMAR SHETKAR,ZAHIRABAD,Images,2025-12-19,152500.0,False,Works Completed.csv
20834,Normal/Others,WS/MP18158/2025-2026/194507-Construction of common work sheds/ common covered sitting area,Punjab,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),Construction of shed in SC Community Dharamshala in village Ranbirpura(Kaurjiwala),DR DHARAMVIRA GANDHI,PATIALA,Images,2026-08-29,398446.0,False,Works Completed.csv
20835,Normal/Others,WS/MP642/2025-2026/195927-Purchase of mobile water tankers,Madhya Pradesh,Maihar(District Collector Maihar_IDA),Gram panchayat me pani tankers hetu,Ganesh Singh,SATNA,Images,2026-03-28,163424.0,False,Works Completed.csv
20836,Normal/Others,WS/MP18190/2025-2026/213027-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street lights in Jagannapet GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,197520.0,False,Works Completed.csv
20837,Normal/Others,WS/MP18314/2025-2026/208369-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 11 Dhilwan Patti Near Dhana Singh Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20838,Normal/Others,WS/MP18314/2025-2026/208368-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 13 Near Rani Kaur Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20839,Normal/Others,WS/MP18162/2025-2026/188270-Construction of community centers and community halls,Rajasthan,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),Bus Stand ke pas Visrantigrah Nirman Kary Vill-Arniya Rasan GP-Arniya Rasan PS-Shahpura,DAMODAR AGARWAL,BHILWARA,,2025-12-22,498196.0,False,Works Completed.csv
20840,Normal/Others,WS/MP18314/2025-2026/208370-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 11 Near Paramjit Singh Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20841,Normal/Others,"WS/MP428/2025-2026/238073-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,Kabeerdham(DISTRICT COLLECTOR KABIRDHAM),Murmikaran Sadak,Santosh Pandey,RAJNANDGAON,,2026-02-13,499428.0,False,Works Completed.csv
20842,Normal/Others,WS/MP18314/2025-2026/208371-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 2 Near Dana Mandi Kali Mata Da Mander Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20843,Normal/Others,WS/MP18190/2025-2026/213057-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street lights in Md Ghousepalle GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,197521.0,False,Works Completed.csv
20844,Normal/Others,"WS/MP18034/2025-2026/221122-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),"Block Bhagwanpur, Panchayat Madhopur Mahodat Ke Gram Shambhupatti Ke Ward No. 11 Me Dukhan Paswan Ke Ghar Se Tasveer Alam Ke Ghar Tak PCC Sadak Nirman",CHIRAG PASWAN,HAJIPUR(SC),,2025-11-19,985567.0,False,Works Completed.csv
20845,Normal/Others,"WS/MP428/2025-2026/238061-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,Kabeerdham(DISTRICT COLLECTOR KABIRDHAM),Murmikaran Sadak (Mian road se jangal tak),Santosh Pandey,RAJNANDGAON,,2026-02-13,499160.0,False,Works Completed.csv
