sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
96,Chhattisgarh,BRIJMOHAN AGRAWAL,RAIPUR,153766451.11,False,Allocated_Limit.csv
97,Madhya Pradesh,BUNTY VIVEK SAHU,CHHINDWARA,147000000.0,False,Allocated_Limit.csv
98,Gujarat,C R Patil,NAVSARI,158532494.36,False,Allocated_Limit.csv
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,False,Allocated_Limit.csv
100,Karnataka,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,147000000.0,False,Allocated_Limit.csv
101,Goa,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,147000000.0,False,Allocated_Limit.csv
102,Telangana,CHAMALA KIRAN KUMAR REDDY,BHONGIR,147000000.0,False,Allocated_Limit.csv
103,Uttar Pradesh,CHANDAN CHAUHAN,BIJNOR,147000000.0,False,Allocated_Limit.csv
104,Rajasthan,Chandra Prakash Joshi,CHITTORGARH,147000000.0,False,Allocated_Limit.csv
105,Uttar Pradesh,CHANDRA SHEKHAR,NAGINA(SC),147000000.0,False,Allocated_Limit.csv
106,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,147000000.0,False,Allocated_Limit.csv
107,Punjab,CHARANJIT SINGH CHANNI,JALANDHAR(SC),147000000.0,False,Allocated_Limit.csv
108,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,,,Allocated_Limit.csv
109,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,BAREILLY,147000000.0,False,Allocated_Limit.csv
110,Maharashtra,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR,147000000.0,False,Allocated_Limit.csv
111,Uttar Pradesh,CHHOTELAL,ROBERTSGANJ(SC),147000000.0,False,Allocated_Limit.csv
112,Chhattisgarh,CHINTAMANI MAHARAJ,SARGUJA(ST),147000000.0,False,Allocated_Limit.csv
113,Bihar,CHIRAG PASWAN,HAJIPUR(SC),147000000.0,False,Allocated_Limit.csv
114,Tamil Nadu,CN Annadurai,TIRUVANNAMALAI,148579509.11,False,Allocated_Limit.csv
115,Tamil Nadu,D M Kathir Anand,VELLORE,160196941.11,False,Allocated_Limit.csv
116,Tamil Nadu,D Ravikumar,VILUPPURAM(SC),197598306.11,False,Allocated_Limit.csv
117,Andhra Pradesh,Daggubati Purandeshwari,RAJAHMUNDRY,147000000.0,False,Allocated_Limit.csv
118,Andhra Pradesh,DAGGUMALLA PRASADA RAO,CHITTOOR,147000000.0,False,Allocated_Limit.csv
119,Rajasthan,DAMODAR AGARWAL,BHILWARA,147000000.0,False,Allocated_Limit.csv
120,Uttar Pradesh,DAROGA PRASAD SAROJ,LALGANJ (SC),147000000.0,False,Allocated_Limit.csv
121,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,147000000.0,False,Allocated_Limit.csv
122,Haryana,DEEPENDER SINGH HOODA,ROHTAK,147000000.0,False,Allocated_Limit.csv
123,Uttar Pradesh,Devendra Alias Bhole Singh,AKBARPUR,147000000.0,False,Allocated_Limit.csv
124,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,False,Allocated_Limit.csv
125,Uttar Pradesh,DEVESH SHAKYA,ETAH,147000000.0,False,Allocated_Limit.csv
126,Gujarat,Devusinh Jesingbhai Chauhan,KHEDA,147000000.0,False,Allocated_Limit.csv
127,Maharashtra,Dhairyasheel Sambhajirao Mane,HATKANANGLE,147000000.0,False,Allocated_Limit.csv
128,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,147000000.0,False,Allocated_Limit.csv
129,Odisha,DHARMENDRA PRADHAN,SAMBALPUR,147000000.0,False,Allocated_Limit.csv
